>contig_1
1	1918	-	2	1.140492	I:642,	D:289,
1760743	1762032	-	1	1.145285	I:	D:
1762476	1764537	+	3	1.134806	I:	D:1763077,1763487,
1764592	1764769	+	1	1.252368	I:1764763,	D:
1764847	1766771	-	1	1.144303	I:	D:1764856,
1766968	1767150	+	1	1.217511	I:	D:
1767163	1767927	+	1	1.143366	I:	D:
1768020	1768676	+	3	1.172988	I:	D:
1768808	1769566	+	2	1.124301	I:	D:
1769826	1771385	+	3	1.117395	I:	D:
1771585	1772582	+	1	1.185147	I:1771665,	D:1771690,1772549,
1772927	1773226	+	2	1.243018	I:	D:
1773375	1774289	-	3	1.145337	I:	D:
1774407	1775636	+	3	1.124428	I:	D:
1775685	1776452	-	3	1.145890	I:	D:
1776522	1777517	-	3	1.169944	I:	D:
1777631	1778692	-	2	1.141537	I:	D:
1778794	1779507	-	1	1.133411	I:	D:
1779628	1780557	-	1	1.146389	I:	D:
1780802	1781788	+	2	1.124429	I:	D:
1781862	1782833	+	3	1.144270	I:	D:
1782945	1783901	+	3	1.112546	I:	D:
1784104	1784343	-	1	1.277305	I:	D:
1784546	1785319	-	2	1.106639	I:	D:
1785332	1786696	-	2	1.131882	I:	D:
1786905	1787015	+	3	1.273843	I:	D:
1787128	1787772	+	1	1.153591	I:	D:
1787885	1788331	+	2	1.204869	I:	D:
1788333	1789184	-	3	1.176183	I:	D:
1789224	1790690	-	3	1.160078	I:	D:
1790901	1791929	+	3	1.099769	I:	D:
1791950	1792699	+	2	1.136255	I:	D:
1792725	1793528	+	3	1.149296	I:	D:
1793543	1794343	+	2	1.101842	I:	D:
1794533	1795252	-	2	1.155443	I:	D:
1795509	1796714	-	3	1.166124	I:	D:
1796813	1797643	+	2	1.153388	I:	D:
1797663	1799848	+	3	1.113344	I:	D:1798509,
1799912	1800304	-	2	1.154016	I:	D:
1800309	1800863	-	3	1.149890	I:	D:
1801021	1801647	+	1	1.161200	I:	D:
1801675	1804039	+	1	1.120041	I:	D:1802182,1803002,
1804044	1805414	+	3	1.114543	I:	D:
1805476	1806435	-	1	1.148405	I:	D:
1806469	1807935	-	1	1.149603	I:	D:
1808086	1809054	+	1	1.098483	I:	D:
1809118	1809561	-	1	1.168073	I:	D:
1809616	1810446	-	1	1.143629	I:	D:
1810458	1811669	-	3	1.140113	I:	D:
1811784	1811880	-	3	1.162420	I:1811875,	D:
1811896	1812495	+	1	1.105159	I:	D:
1812571	1812642	-	1	1.184140	I:	D:
1812646	1814295	+	1	1.150145	I:	D:
1814475	1816102	+	3	1.174331	I:	D:1815639,
1816226	1818832	-	2	1.154415	I:	D:
1818985	1819416	+	1	1.143312	I:	D:
1819592	1821477	+	2	1.162800	I:	D:1820264,
1821519	1822616	-	3	1.274435	I:1821605,	D:1821523,
1822706	1823752	-	2	1.235135	I:	D:
1823897	1824823	-	2	1.300104	I:	D:
1824926	1825885	-	2	1.269181	I:	D:
1825901	1828377	-	2	1.256140	I:1826756,1826906,	D:
1828606	1829481	+	1	1.246691	I:	D:
1829511	1830471	+	3	1.228739	I:1829527,	D:
1830518	1831537	-	2	1.213864	I:	D:
1831884	1833185	+	3	1.153800	I:	D:
1833306	1834105	+	3	1.201174	I:	D:1833658,
1834121	1834456	-	2	1.176407	I:	D:
1834475	1835062	-	2	1.162544	I:	D:
1835239	1836264	-	1	1.136087	I:	D:
1836643	1839958	-	1	1.238188	I:1839261,1839292,	D:1836709,1836791,1836983,1838279,
1839971	1841664	-	2	1.205879	I:1840265,	D:1840194,1841353,
1841677	1844852	-	1	1.220369	I:	D:1842405,
1844868	1846548	-	3	1.224543	I:1845472,1845606,	D:1845141,
1846566	1849012	-	3	1.238023	I:	D:1847031,
1849264	1850201	-	1	1.312830	I:	D:1849551,
1850569	1850673	+	1	1.308005	I:	D:
1850733	1851186	-	3	1.342393	I:1850758,	D:
1851468	1852409	+	3	1.258068	I:	D:
1852448	1853776	+	2	1.234458	I:	D:
1853938	1854387	+	1	1.387648	I:	D:
1854689	1854898	+	2	1.324423	I:	D:
1855120	1859618	-	1	1.216124	I:1855164,1857257,1857361,1858642,1858690,	D:1857580,1858195,1858979,
1859857	1861037	-	1	1.205479	I:	D:1860749,
1861106	1861876	-	2	1.261970	I:	D:
1862186	1862536	-	2	1.202599	I:	D:
1862834	1863082	+	2	1.141747	I:	D:
1863146	1863460	-	2	1.191886	I:	D:
1863919	1864151	+	1	1.287784	I:1863927,1863972,	D:
1864311	1864433	+	3	1.302203	I:	D:
1864530	1866271	-	3	1.190627	I:	D:1864807,
1866351	1867175	-	3	1.242891	I:	D:
1867884	1868551	-	3	1.225272	I:1868188,1868216,	D:
1868858	1870130	-	2	1.316650	I:1869001,	D:
1870140	1870310	-	3	1.279396	I:	D:
1870481	1871029	-	2	1.253287	I:	D:
1871226	1873486	-	3	1.244534	I:1872248,1872293,	D:
1873799	1874719	+	2	1.130488	I:	D:
1874798	1876051	-	2	1.137245	I:	D:
1876116	1877740	-	3	1.118099	I:	D:1877340,
1877805	1879892	-	3	1.142475	I:	D:
1880027	1882266	-	2	1.275433	I:	D:1880126,
1882417	1884561	-	1	1.220024	I:	D:
1884649	1885479	-	1	1.160668	I:	D:
1885599	1886564	-	3	1.155485	I:	D:
1886699	1887925	+	2	1.107959	I:	D:
1887983	1888315	-	2	1.179360	I:	D:
1888462	1888686	-	1	1.145449	I:	D:
1888693	1889238	-	1	1.125685	I:	D:
1889303	1889878	-	2	1.162821	I:	D:
1889956	1890609	-	1	1.162650	I:	D:
1890626	1891955	-	2	1.208820	I:1891239,	D:
1892048	1893237	+	2	1.162285	I:1893013,1893074,	D:
1893275	1894902	+	2	1.131214	I:	D:1893956,
1894914	1895984	+	3	1.138732	I:	D:
1896056	1897006	+	2	1.134978	I:	D:
1897066	1898064	+	1	1.163941	I:	D:
1898081	1898995	+	2	1.188442	I:	D:
1899129	1899554	+	3	1.188105	I:	D:
1899733	1900479	+	1	1.144482	I:	D:
1900632	1900958	-	3	1.213437	I:	D:
1900987	1902216	-	1	1.178377	I:	D:
1902415	1903023	-	1	1.223351	I:	D:
1903160	1903516	+	2	1.187258	I:	D:
1903573	1905051	-	1	1.151150	I:	D:
1905174	1905662	+	3	1.205212	I:	D:
1905822	1906334	+	3	1.173704	I:	D:
1906344	1908197	+	3	1.125162	I:	D:
1908252	1909784	+	3	1.147961	I:	D:
1909976	1910899	+	2	1.128720	I:	D:
1910905	1911771	+	1	1.115673	I:	D:
1911829	1913568	+	1	1.152588	I:	D:
1913581	1914018	+	1	1.188941	I:	D:
1914283	1914570	+	1	1.259509	I:	D:
1914576	1914869	+	3	1.313599	I:	D:
1914915	1915693	-	3	1.208300	I:	D:1915130,
1915786	1918013	-	1	1.155916	I:	D:1916422,
1918152	1920169	-	3	1.165601	I:	D:1919519,
1920333	1921253	+	3	1.144625	I:	D:
1921262	1922212	+	2	1.137277	I:	D:
1922265	1923649	+	3	1.169200	I:1922303,1922356,	D:
1923705	1924655	+	3	1.155204	I:	D:
1924686	1925319	-	3	1.146724	I:1924692,	D:
1925475	1926968	+	3	1.112415	I:	D:
1927216	1928680	+	1	1.148811	I:1928590,	D:
1928761	1930652	+	1	1.136508	I:	D:1929714,
1930701	1931210	-	3	1.155395	I:	D:
1931310	1932200	+	3	1.123400	I:	D:
1932269	1934101	-	2	1.155504	I:	D:
1934233	1935120	-	1	1.123072	I:	D:
1935224	1937073	+	2	1.144816	I:1936066,1936092,	D:
1937184	1938914	+	3	1.144750	I:	D:
1938956	1939345	+	2	1.108015	I:	D:
1939368	1940510	-	3	1.181296	I:	D:
1940710	1941153	+	1	1.200483	I:	D:
1941190	1942266	+	1	1.157480	I:	D:
1942309	1945292	-	1	1.135624	I:1943559,1944208,	D:
1945387	1946226	-	1	1.168977	I:	D:
1946428	1946832	-	1	1.111674	I:	D:
1947022	1948425	-	1	1.145989	I:	D:
1948588	1949580	+	1	1.136851	I:	D:
1949771	1950868	+	2	1.131550	I:	D:
1950871	1951884	+	1	1.126540	I:	D:
1951925	1953206	-	2	1.155629	I:1953133,	D:
1953559	1954788	+	1	1.161353	I:	D:
1954915	1956474	+	1	1.210048	I:	D:
1956519	1957700	+	3	1.202148	I:	D:
1957739	1958179	+	2	1.192828	I:	D:
1958187	1958615	+	3	1.155049	I:	D:
1958641	1960667	+	1	1.208903	I:	D:1959469,
1960673	1961713	+	2	1.184803	I:	D:
1961726	1962526	+	2	1.182891	I:	D:
1962589	1963569	-	1	1.221232	I:	D:
1963600	1964463	-	1	1.287264	I:	D:
1964702	1964788	+	2	1.178790	I:	D:
1964999	1965858	+	2	1.265199	I:	D:1965772,
1965874	1967318	+	1	1.238229	I:	D:1966523,
1967337	1968524	+	3	1.262420	I:	D:
1968598	1969929	-	1	1.235812	I:	D:
1970007	1971031	-	3	1.226795	I:	D:1970092,
1971050	1974418	-	2	1.210932	I:1973580,	D:1972308,
1974621	1975432	-	3	1.167999	I:	D:1974693,
1975577	1976365	-	2	1.142800	I:	D:
1976422	1977945	-	1	1.152061	I:	D:
1978027	1979742	+	1	1.153409	I:	D:
1979854	1980300	+	1	1.202425	I:	D:
1980307	1981338	-	1	1.166925	I:	D:
1981363	1982172	-	1	1.150019	I:	D:
1982210	1986692	-	2	1.321849	I:1982328,1982373,1982451,1982852,1982871,	D:1983463,
1986726	1987229	-	3	1.293601	I:	D:
1987240	1991203	-	1	1.324507	I:1990485,1990592,1990898,	D:1989499,1990993,
1991693	1992622	+	2	1.338482	I:	D:
1992638	1994235	-	2	1.360026	I:1992862,1992888,1993032,	D:1993476,
1994247	1994369	+	3	1.241697	I:1994343,	D:1994255,
1994411	1995295	-	2	1.166562	I:	D:
1995569	1996897	+	2	1.114243	I:	D:
1997264	1999104	+	2	1.130558	I:	D:1998196,
1999154	2000731	+	2	1.144801	I:	D:
2000802	2002256	+	3	1.148501	I:	D:
2002269	2004029	+	3	1.132410	I:	D:
2004098	2004778	-	2	1.148229	I:	D:
2004875	2005772	+	2	1.173160	I:2005768,	D:
2005795	2006727	-	1	1.185876	I:	D:
2006804	2008273	-	2	1.145851	I:	D:
2008339	2008413	+	1	1.280430	I:	D:
2008606	2009580	-	1	1.154660	I:	D:
2009750	2010121	+	2	1.186245	I:	D:
2010248	2010751	+	2	1.170417	I:	D:
2010803	2011315	-	2	1.180127	I:	D:
2011470	2012537	-	3	1.154998	I:	D:
2012558	2012740	-	2	1.254272	I:	D:
2012973	2013671	+	3	1.142208	I:	D:
2013738	2014508	-	3	1.122278	I:	D:
2014609	2015424	+	1	1.080045	I:	D:
2015501	2016397	-	2	1.159473	I:	D:
2016468	2017017	-	3	1.181756	I:2016475,	D:
2017030	2018139	-	1	1.188301	I:	D:
2018249	2019070	-	2	1.150052	I:	D:
2019073	2020404	-	1	1.186698	I:	D:
2020498	2032563	-	1	1.129475	I:	D:
2033109	2034290	+	3	1.138453	I:	D:
2034295	2036990	+	1	1.148532	I:2035817,2035876,	D:
2037047	2037577	+	2	1.126264	I:	D:
2037599	2038915	+	2	1.139308	I:	D:
2038936	2039496	-	1	1.263150	I:	D:
2039734	2040393	+	1	1.151432	I:	D:
2040439	2041620	+	1	1.154106	I:	D:
2041816	2042208	+	1	1.178042	I:	D:
2042248	2042988	+	1	1.128342	I:	D:
2043037	2044742	-	1	1.181385	I:	D:2043802,
2044913	2046705	+	2	1.134843	I:	D:2046058,
2046808	2049065	+	1	1.142139	I:	D:2048212,
2049071	2049865	+	2	1.144716	I:	D:
2049872	2050318	+	2	1.143861	I:	D:
2050353	2051219	-	3	1.140458	I:	D:
2051322	2053286	-	3	1.129520	I:2052222,	D:2051807,
2053391	2053876	-	2	1.147047	I:	D:
2053984	2054685	-	1	1.132296	I:	D:
2054690	2056396	-	2	1.162028	I:	D:
2056433	2057149	-	2	1.167112	I:	D:
2057167	2059507	-	1	1.139053	I:2057606,	D:
2059560	2061176	-	3	1.162320	I:	D:
2061496	2074264	-	1	1.135871	I:2074221,	D:
2074382	2075894	-	2	1.146623	I:2075360,	D:
2075900	2076595	-	2	1.108110	I:	D:
2076758	2089267	-	2	1.164029	I:	D:
2089480	2091705	-	1	1.200698	I:2091064,	D:2090479,
2091921	2092301	+	3	1.159840	I:	D:
2092323	2092688	-	3	1.180398	I:	D:
2092706	2093260	-	2	1.160030	I:	D:
2093418	2094200	-	3	1.152647	I:	D:
2094214	2094849	-	1	1.168677	I:	D:
2094852	2095805	-	3	1.150655	I:	D:
2096970	2098022	-	3	1.358837	I:	D:
2098119	2098763	-	3	1.346523	I:	D:
2098822	2102043	-	1	1.302214	I:	D:
2102110	2103300	-	1	1.340590	I:	D:
2103362	2107613	-	2	1.296560	I:2106837,2106851,	D:2104406,
2107625	2108161	-	2	1.302384	I:	D:
2108167	2108679	-	1	1.296092	I:	D:
2108731	2109216	-	1	1.254591	I:	D:
2109479	2109643	+	2	1.262699	I:	D:
2109669	2110006	-	3	1.341698	I:2109692,2109925,	D:
2110283	2112701	-	2	1.184876	I:2112277,2112300,	D:2111389,
2112907	2114127	+	1	1.154890	I:	D:
2114155	2117432	+	1	1.149575	I:2115969,	D:2114997,2116718,
2117550	2120267	+	3	1.179532	I:2118230,	D:2119467,
2120374	2121338	+	1	1.184178	I:	D:2120922,
2121375	2122564	+	3	1.160682	I:	D:2121736,
2122575	2123534	+	3	1.151681	I:	D:
2123625	2124887	-	3	1.254523	I:	D:
2124988	2125791	-	1	1.212009	I:	D:
2125846	2127686	-	1	1.262494	I:2126838,2126867,	D:
2127845	2128607	+	2	1.322334	I:2128603,	D:
2128756	2130848	-	1	1.223804	I:	D:2129854,
2131001	2131954	+	2	1.245955	I:	D:
2132009	2133004	-	2	1.215580	I:	D:
2133110	2135179	-	2	1.173344	I:	D:
2135212	2136018	-	1	1.221032	I:	D:
2136141	2136959	+	3	1.164759	I:	D:
2137078	2139642	-	1	1.265421	I:	D:
2139799	2140176	-	1	1.302451	I:	D:
2140220	2141128	-	2	1.216914	I:	D:
2141225	2141950	+	2	1.177068	I:	D:
2142108	2142491	+	3	1.170727	I:	D:
2142605	2143846	+	2	1.210865	I:	D:
2143920	2146625	+	3	1.206598	I:	D:
2146707	2147096	+	3	1.137071	I:	D:
2147114	2148796	+	2	1.121490	I:	D:
2148835	2149662	+	1	1.183303	I:	D:
2149680	2150789	+	3	1.153739	I:	D:
2150859	2150936	+	3	1.215775	I:	D:
2151006	2151890	+	3	1.202225	I:	D:
2151940	2153100	-	1	1.216445	I:	D:
2153179	2155536	+	1	1.183006	I:2153309,2153324,2154305,	D:
2155668	2156543	+	3	1.196182	I:	D:
2156596	2158980	-	1	1.209205	I:	D:
2159259	2163604	+	3	1.163467	I:	D:2160428,
2163625	2165118	+	1	1.164625	I:	D:
2165181	2165714	-	3	1.215713	I:	D:
2165894	2166429	+	2	1.180654	I:	D:2166422,
2166482	2170326	-	2	1.174897	I:2168426,2168448,2169028,	D:2169207,
2170526	2171158	-	2	1.173512	I:	D:
2171213	2171422	-	2	1.215409	I:	D:
2171505	2172566	-	3	1.118938	I:	D:
2172678	2173700	+	3	1.141988	I:	D:
2173711	2175603	+	1	1.099806	I:	D:
2175663	2176202	+	3	1.168124	I:	D:
2176225	2178842	+	1	1.113600	I:	D:2177490,
2178887	2179845	-	2	1.188193	I:	D:2179109,
2180010	2181341	-	3	1.181506	I:	D:
2181416	2183680	-	2	1.205120	I:	D:
2183950	2184963	-	1	1.151965	I:	D:
2184964	2185536	-	1	1.140740	I:	D:
2185589	2187865	-	2	1.139539	I:	D:
2187877	2188293	-	1	1.155769	I:	D:
2188548	2189516	+	3	1.176767	I:	D:
2189560	2190906	-	1	1.140619	I:	D:
2190971	2191462	+	2	1.179649	I:	D:
2191498	2192127	+	1	1.124404	I:	D:
2192134	2193039	+	1	1.176139	I:	D:
2193109	2193375	+	1	1.181544	I:	D:
2193461	2193889	+	2	1.135695	I:	D:
2193922	2194299	+	1	1.159457	I:	D:
2194342	2195253	+	1	1.236387	I:2194937,	D:2194854,
2195270	2195401	+	2	1.264882	I:	D:
2195468	2196544	+	2	1.199243	I:2196013,	D:2196259,
2196628	2196993	-	1	1.185139	I:	D:
2197076	2197348	-	2	1.282741	I:	D:
2197367	2198380	-	2	1.194781	I:	D:
2198383	2205552	-	1	1.172790	I:	D:2199354,2200429,2201394,2203135,2204230,2204873,
2205600	2207536	-	3	1.186880	I:2206866,2206880,	D:
2207756	2212805	-	2	1.169918	I:2210631,2211118,	D:2212001,
2212843	2213934	+	1	1.136578	I:	D:
2213953	2216240	-	1	1.167611	I:	D:2214342,
2216249	2216470	-	2	1.206559	I:	D:
2216523	2217029	-	3	1.158335	I:	D:
2217227	2217718	-	2	1.181109	I:	D:
2217776	2219395	-	2	1.213096	I:2219280,	D:2218875,
2219431	2220516	+	1	1.139382	I:	D:
2220578	2223512	+	2	1.149295	I:	D:2221330,2222529,
2223668	2225282	+	2	1.155298	I:2223727,	D:
2225292	2234090	+	3	1.154004	I:2228475,	D:2231867,
2234093	2242801	+	2	1.142101	I:	D:2236195,2237990,2240104,
2243016	2244428	+	3	1.153709	I:	D:
2244494	2244993	-	2	1.355005	I:2244822,2244921,	D:
2245187	2245380	-	2	1.240980	I:	D:2245317,
2245544	2248045	-	2	1.294229	I:2245559,	D:2246509,
2248249	2248950	+	1	1.280750	I:	D:
2248971	2250296	-	3	1.217169	I:	D:
2250389	2251246	-	2	1.270448	I:	D:
2251414	2252304	+	1	1.303999	I:	D:
2252325	2256007	-	3	1.181314	I:	D:2255155,
2256153	2256671	+	3	1.164245	I:	D:
2256699	2259376	-	3	1.144293	I:	D:2257995,
2259722	2260207	+	2	1.244217	I:	D:
2260211	2262264	+	2	1.158118	I:	D:2261718,
2262358	2264732	+	1	1.141828	I:	D:2263652,
2264747	2266057	+	2	1.115112	I:	D:
2266167	2267669	-	3	1.136803	I:	D:
2267790	2269121	+	3	1.128322	I:	D:
2269127	2269213	+	2	1.300513	I:	D:
2269247	2270730	+	2	1.142444	I:2269742,2269775,	D:
2270909	2273356	+	2	1.157968	I:	D:
2273397	2275562	-	3	1.184578	I:	D:
2275606	2279790	-	1	1.172868	I:2277595,2278648,	D:2276261,2276865,
2279872	2280528	+	1	1.168001	I:	D:
2280602	2281375	-	2	1.146676	I:	D:
2281471	2282970	+	1	1.129489	I:	D:
2283080	2284411	-	2	1.218037	I:	D:
2284488	2285534	+	3	1.124397	I:	D:
2285944	2287946	+	1	1.150950	I:	D:2286806,
2288005	2288727	-	1	1.161046	I:	D:
2288851	2290206	+	1	1.128497	I:	D:
2290254	2291234	+	3	1.136334	I:	D:
2291247	2292749	+	3	1.137119	I:	D:
2292817	2293665	-	1	1.144100	I:	D:
2293696	2294550	-	1	1.146398	I:	D:
2294588	2295358	-	2	1.135476	I:	D:
2295615	2298042	-	3	1.145416	I:2297240,	D:
2298091	2299077	-	1	1.143623	I:	D:
2299078	2299893	-	1	1.156565	I:	D:
2300074	2300778	+	1	1.198198	I:	D:
2300788	2301855	+	1	1.127103	I:	D:
2301952	2304624	-	1	1.146984	I:2302914,	D:2303846,
2304958	2306157	+	1	1.137677	I:	D:
2306305	2309672	+	1	1.129238	I:2307164,2308972,	D:
2309691	2311450	+	3	1.157160	I:	D:2310678,
2311512	2313692	-	3	1.234572	I:	D:
2314002	2314976	-	3	1.157530	I:	D:
2315093	2316001	+	2	1.116222	I:	D:
2316012	2316995	-	3	1.168244	I:	D:
2317053	2319451	-	3	1.176176	I:	D:2318566,
2319569	2320498	+	2	1.173486	I:	D:
2320802	2323507	+	2	1.137724	I:	D:
2323751	2324797	-	2	1.178929	I:	D:
2324866	2325759	-	1	1.144609	I:	D:
2325905	2327356	+	2	1.094616	I:	D:
2327407	2328489	+	1	1.088811	I:	D:
2328519	2330018	+	3	1.110858	I:	D:
2330054	2330761	+	2	1.124743	I:	D:
2330797	2331687	+	1	1.125052	I:	D:
2331731	2332465	-	2	1.144093	I:	D:
2332612	2332709	+	1	1.217832	I:	D:2332663,
2332782	2333951	+	3	1.141807	I:	D:
2333961	2335076	+	3	1.139984	I:	D:
2335283	2335843	+	2	1.195973	I:	D:
2335941	2336399	-	3	1.160230	I:	D:
2336513	2337217	-	2	1.147275	I:	D:
2337333	2338733	-	3	1.136452	I:	D:
2338783	2340834	-	1	1.140200	I:	D:
2340915	2341364	-	3	1.141714	I:	D:
2341387	2342265	-	1	1.151502	I:	D:
2342277	2343278	-	3	1.110392	I:	D:
2343288	2345572	-	3	1.148504	I:	D:2344235,
2345593	2349812	-	1	1.172056	I:2348412,	D:2346952,2349335,
2349814	2350727	-	1	1.204121	I:	D:2350282,
2350961	2351137	-	2	1.237132	I:	D:
2351283	2352149	-	3	1.220655	I:	D:
2352656	2354317	+	2	1.188272	I:	D:
2354676	2356292	+	3	1.127071	I:	D:
2356321	2356860	+	1	1.197073	I:	D:
2356916	2360118	-	2	1.125549	I:	D:2358618,
2360124	2363335	-	3	1.163751	I:	D:2361105,
2363466	2364131	-	3	1.128738	I:	D:
2364234	2365241	-	3	1.162932	I:	D:
2365359	2367449	-	3	1.132705	I:	D:
2367560	2368471	+	2	1.155628	I:	D:
2368570	2370078	-	1	1.132067	I:	D:
2370195	2371457	+	3	1.124550	I:	D:
2371605	2373074	+	3	1.127918	I:	D:
2373272	2374126	+	2	1.112532	I:	D:
2374298	2375125	-	2	1.162409	I:	D:
2375217	2376220	-	3	1.145646	I:	D:2376165,
2376348	2377400	-	3	1.122976	I:	D:
2377413	2380503	-	3	1.170046	I:2379143,	D:
2380522	2382783	-	1	1.157184	I:	D:
2382889	2384004	-	1	1.273565	I:	D:
2384203	2387979	+	1	1.168052	I:2384322,2385680,2387624,2387958,	D:2386200,
2388049	2389158	+	1	1.162232	I:	D:
2389165	2390118	+	1	1.152849	I:	D:
2390149	2391465	+	1	1.131540	I:	D:
2391486	2392388	+	3	1.149978	I:	D:
2392469	2393747	+	2	1.153663	I:2393705,	D:
2393754	2397613	+	3	1.161663	I:2394881,	D:2395782,2396329,
2397626	2398454	-	2	1.220615	I:2398425,	D:
2398627	2399394	-	1	1.217899	I:	D:
2399939	2401540	-	2	1.292295	I:	D:
2401898	2402569	+	2	1.152423	I:	D:
2402629	2404977	+	1	1.129572	I:	D:
2405005	2408228	+	1	1.108092	I:	D:2406290,
2408342	2409637	+	2	1.177292	I:	D:
2409698	2412088	+	2	1.113705	I:	D:
2412227	2414545	+	2	1.165887	I:2413424,2413935,2413953,	D:
2414548	2416242	+	1	1.139336	I:	D:
2416286	2417854	-	2	1.146101	I:	D:
2417866	2418840	-	1	1.141029	I:	D:
2418969	2419484	+	3	1.129904	I:	D:
2419556	2425752	+	2	1.123247	I:2421458,2424820,	D:2421407,2422585,2423789,
2425763	2427380	-	2	1.181395	I:2426533,	D:
2427433	2429315	-	1	1.152909	I:	D:2428157,
2429449	2430213	-	1	1.169206	I:	D:
2430276	2430902	-	3	1.193899	I:	D:
2431100	2431876	+	2	1.146716	I:	D:
2431974	2432724	-	3	1.218854	I:	D:2432260,2432467,
2432915	2433284	+	2	1.234536	I:2433270,	D:
2433359	2433497	+	2	1.336378	I:2433490,	D:
2433626	2433853	+	2	1.293947	I:	D:
2433890	2434810	-	2	1.177452	I:	D:
2434940	2435536	+	2	1.160444	I:	D:
2435591	2436052	-	2	1.168573	I:	D:
2436107	2436313	+	2	1.239787	I:	D:
2436921	2437223	+	3	1.259042	I:	D:
2437961	2438578	+	2	1.163098	I:	D:
2438604	2439236	-	3	1.213790	I:	D:
2439444	2441186	+	3	1.169523	I:	D:
2441267	2441884	+	2	1.166470	I:	D:
2441948	2442991	+	2	1.138606	I:	D:
2443304	2446651	+	2	1.149126	I:	D:
2446674	2449862	-	3	1.175617	I:	D:
2449961	2454244	-	2	1.184758	I:2450067,	D:2451285,
2454527	2455004	+	2	1.226258	I:2454602,	D:
2455079	2455420	+	2	1.173899	I:	D:
2455757	2457516	+	2	1.260126	I:	D:2456476,
2457570	2458702	+	3	1.180840	I:	D:2458525,
2458780	2460964	+	1	1.190241	I:2460243,	D:
2460967	2463597	+	1	1.185114	I:2461112,2461140,2462100,2462193,	D:2462117,
2463649	2463852	+	1	1.166354	I:	D:
2464201	2464392	+	1	1.344695	I:	D:
2464592	2464714	+	2	1.301211	I:	D:
2465109	2465198	+	3	1.356605	I:	D:
2465846	2466136	-	2	1.397414	I:2465900,	D:2466075,
2466492	2467721	-	3	1.170741	I:	D:
2467975	2469115	-	1	1.115433	I:2469023,	D:
2469119	2470084	-	2	1.145129	I:	D:
2470121	2472240	-	2	1.183943	I:	D:2470801,
2472549	2474718	+	3	1.175236	I:2472615,2473941,	D:2473308,
2474835	2475698	-	3	1.131336	I:	D:
2475732	2477315	-	3	1.140318	I:	D:
2477528	2477977	-	2	1.185324	I:	D:
2478396	2480594	+	3	1.145567	I:	D:
2480641	2482557	+	1	1.162866	I:	D:
2482563	2486102	+	3	1.132260	I:2485590,2485607,	D:2483872,2484775,
2486142	2487152	+	3	1.147437	I:	D:
2487201	2488357	-	3	1.313285	I:	D:2488238,
2488459	2489244	-	1	1.157640	I:	D:
2489398	2490156	+	1	1.158254	I:	D:
2490226	2491215	-	1	1.173346	I:	D:
2491377	2492138	+	3	1.111333	I:	D:
2492230	2493066	-	1	1.139005	I:	D:
2493212	2498319	-	2	1.155397	I:2494422,	D:2495511,2497025,
2498536	2499861	-	1	1.151922	I:	D:
2499910	2500542	-	1	1.139404	I:	D:
2500701	2501684	-	3	1.164541	I:	D:
2501893	2502900	+	1	1.160734	I:	D:
2502904	2503806	+	1	1.119068	I:	D:
2503809	2504630	+	3	1.154344	I:	D:
2504659	2506954	+	1	1.121639	I:	D:2504833,2506220,
2506987	2507532	-	1	1.154924	I:	D:
2507742	2508119	+	3	1.161603	I:	D:
2508255	2508809	+	3	1.147206	I:	D:
2509710	2509928	-	3	1.189834	I:	D:
2510119	2510622	+	1	1.176707	I:	D:
2510635	2511552	-	1	1.130423	I:	D:
2511680	2512474	+	2	1.140482	I:	D:
2512499	2513512	+	2	1.110522	I:	D:
2513629	2513940	+	1	1.100291	I:	D:
2513957	2514310	-	2	1.220311	I:	D:
2514444	2515882	-	3	1.204747	I:	D:2514900,
2515981	2516244	+	1	1.135661	I:	D:
2516341	2516412	+	1	1.170471	I:	D:
2516487	2516792	+	3	1.113228	I:	D:
2516925	2517422	+	3	1.245651	I:	D:
2517453	2518079	+	3	1.148570	I:	D:
2518158	2518842	+	3	1.297094	I:2518516,	D:
2519049	2522893	+	3	1.122916	I:	D:2521700,
2523111	2523338	+	3	1.233477	I:	D:
2523540	2524664	-	3	1.159210	I:	D:
2524682	2525542	-	2	1.191616	I:	D:
2525675	2526322	-	2	1.183066	I:	D:
2526369	2526440	+	3	1.112617	I:	D:
2526450	2527076	-	3	1.155808	I:	D:
2527166	2528020	+	2	1.143633	I:	D:
2528201	2529501	+	2	1.191343	I:	D:2528734,
2529541	2529813	-	1	1.278164	I:	D:
2530039	2530695	-	1	1.214311	I:	D:
2530796	2531536	-	2	1.141560	I:	D:
2531624	2532686	+	2	1.134278	I:2532681,	D:
2532709	2533496	-	1	1.185872	I:	D:2532868,
2533620	2534329	-	3	1.199609	I:	D:2534143,
2534808	2534963	+	3	1.311289	I:	D:
2535034	2536755	+	1	1.136458	I:	D:
2536814	2537185	+	2	1.164335	I:	D:
2537413	2537976	+	1	1.118369	I:	D:
2538177	2540425	+	3	1.217512	I:2539837,	D:2539395,2540421,
2540454	2542346	-	3	1.167352	I:2540475,	D:2541698,
2542413	2543210	+	3	1.147310	I:	D:
2543315	2543540	+	2	1.231507	I:2543446,	D:
2543710	2544294	+	1	1.333336	I:	D:
2544472	2546967	+	1	1.182135	I:	D:
2547026	2547757	+	2	1.152095	I:	D:
2547831	2549459	-	3	1.149303	I:	D:
